candidate,age,gender,party,race,education
Someone else,30-44,Male,Independent,White,College
Hillary Clinton,45-64,Male,Republican,Hispanic,College
Hillary Clinton,30-44,Male,Independent,Hispanic,College
Hillary Clinton,65+,Female,Democrat,White,College
Donald Trump,65+,Female,Republican,White,High School
Hillary Clinton,18-29,Male,Independent,Black,Some College
Do not know,65+,Female,Independent,White,College
Donald Trump,45-64,Female,Independent,White,Some College
Hillary Clinton,65+,Female,Democrat,White,Some College
Hillary Clinton,18-29,Female,Democrat,White,Some College
Donald Trump,30-44,Male,Republican,Hispanic,Some College
Hillary Clinton,45-64,Male,Independent,Black,College
Hillary Clinton,45-64,Male,Democrat,White,Some College
Do not know,18-29,Female,Democrat,White,College
Hillary Clinton,30-44,Male,Independent,Hispanic,College
Hillary Clinton,18-29,Female,Democrat,White,Some College
Hillary Clinton,18-29,Female,Democrat,White,College
Hillary Clinton,18-29,Male,Independent,White,Some College
Hillary Clinton,45-64,Female,Democrat,White,College
Donald Trump,65+,Male,Republican,White,College
Hillary Clinton,45-64,Male,Democrat,Black,High School
Donald Trump,18-29,Male,Independent,White,Some College
Hillary Clinton,18-29,Female,Democrat,Black,Some College
Hillary Clinton,45-64,Female,Republican,White,Some College
Will not vote,18-29,Male,Independent,Other,College
Donald Trump,30-44,Female,Independent,White,High School
Donald Trump,18-29,Male,Independent,Black,College
Hillary Clinton,18-29,Female,Independent,White,College
Hillary Clinton,18-29,Male,Independent,Hispanic,Some College
Donald Trump,18-29,Male,Republican,White,College
Donald Trump,45-64,Male,Republican,White,High School
Donald Trump,45-64,Female,Republican,White,College
Do not know,30-44,Male,Democrat,Black,College
Hillary Clinton,18-29,Male,Democrat,Other,College
Do not know,65+,Female,Independent,Hispanic,Some College
Hillary Clinton,18-29,Female,Democrat,White,Some College
Donald Trump,18-29,Female,Democrat,White,College
Donald Trump,45-64,Female,Independent,White,College
Donald Trump,30-44,Female,Republican,White,College
Hillary Clinton,18-29,Male,Democrat,Hispanic,College
Hillary Clinton,18-29,Female,Independent,Hispanic,Some College
Donald Trump,45-64,Female,Independent,White,College
Hillary Clinton,65+,Male,Democrat,White,College
Donald Trump,30-44,Male,Democrat,Hispanic,High School
Donald Trump,65+,Female,Republican,White,Some College
Someone else,65+,Female,Independent,White,College
Donald Trump,45-64,Male,Independent,Black,College
Donald Trump,45-64,Female,Independent,White,Some College
Donald Trump,45-64,Female,Republican,White,College
Hillary Clinton,65+,Male,Democrat,White,College
Donald Trump,30-44,Male,Republican,White,College
Hillary Clinton,45-64,Female,Democrat,White,College
Hillary Clinton,45-64,Female,Independent,White,High School
Hillary Clinton,30-44,Female,Democrat,Black,Some College
Donald Trump,65+,Male,Republican,White,College
Hillary Clinton,45-64,Female,Independent,White,High School
Will not vote,30-44,Female,Democrat,White,College
Donald Trump,45-64,Female,Democrat,White,High School
Donald Trump,65+,Female,Republican,White,College
